Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10100000,0,11.0,61,2.0,3.0,420.0,4.0,60.0,5.0,241.0,2.0,9.0,0.0,3.0,0.0,114.0,831.0,784.0,0.0,6.0,175.0,0.0,0.0,256.0,9.0,864.0,12.0,9.0,167.0,974.0,0.0,166.0,0.0,0.0,888.0,0.0,2.0,112.0,0.0,0.0
10100001,1,2.0,131,2.0,1.0,1308.0,9.0,6.0,10.0,41.0,0.0,4.0,"",1.0,7.0,76.0,6550321.0,5.0,0.0,0.0,1088.0,0.0,0.0,434.0,375.0,5315503.0,379.0,1.0,71.0,4605911.0,0.0,82.0,1.0,1.0,4287250.0,0.0,2.0,5.0,2.0,2.0
10100002,0,0.0,90,"","",4877.0,299.0,15.0,0.0,431.0,0.0,3.0,"","",1.0,121.0,2809875.0,6.0,0.0,2.0,63.0,0.0,0.0,0.0,259.0,1048.0,109.0,0.0,898.0,1188.0,0.0,160.0,0.0,0.0,1088.0,3.0,1.0,1.0,0.0,0.0
10100003,1,4.0,17,65.0,1.0,1507.0,127.0,29.0,1.0,200.0,0.0,6.0,"",1.0,1.0,136.0,1176.0,91.0,3.0,0.0,39.0,0.0,0.0,12.0,46.0,417.0,53.0,0.0,222.0,434.0,0.0,196.0,0.0,0.0,414.0,0.0,0.0,3.0,0.0,0.0
10100004,0,1.0,61,1581.0,6.0,1105.0,53.0,3.0,26.0,73.0,1.0,2.0,"",41.0,3.0,2.0,330.0,422.0,1.0,4.0,3192.0,2.0,0.0,3069.0,1551.0,345.0,1391.0,1.0,123.0,366.0,1.0,74.0,1.0,3.0,349.0,0.0,2.0,429.0,1.0,4.0
10100005,0,2.0,809,4.0,2.0,12.0,1.0,23.0,2.0,16.0,1.0,9.0,2.0,1.0,0.0,135.0,3907217.0,2114357.0,0.0,0.0,1896.0,0.0,0.0,18.0,1607.0,4243408.0,1438.0,0.0,498.0,5195133.0,6.0,194.0,1.0,2.0,1781902.0,0.0,1.0,82605.0,11.0,5.0
10100006,0,"",69,2.0,6.0,20.0,"",0.0,6.0,6.0,"",0.0,"",6.0,1.0,464.0,0.0,1.0,0.0,1.0,3957.0,1.0,0.0,9024.0,1443.0,0.0,1290.0,4.0,4230.0,0.0,7.0,2201.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
10100007,1,10.0,28,10.0,12.0,2.0,6.0,31.0,28.0,280.0,3.0,11.0,"",6.0,0.0,9.0,1075.0,1286.0,1.0,0.0,129.0,0.0,0.0,0.0,151.0,1107.0,135.0,0.0,56.0,1258.0,0.0,20.0,1.0,2.0,1152.0,2.0,0.0,1221.0,2.0,878.0
10100008,1,2.0,0,1.0,1.0,87.0,29.0,26.0,43.0,287.0,1.0,10.0,"",1.0,0.0,14.0,8.0,10.0,0.0,0.0,303.0,9.0,0.0,0.0,67.0,9.0,75.0,1.0,38.0,10.0,3.0,27.0,0.0,0.0,10.0,1.0,2.0,8.0,0.0,0.0
10100009,0,"",24,2.0,"","","","",0.0,"","","","","",0.0,0.0,1074.0,410.0,0.0,2.0,117.0,1.0,1.0,0.0,145.0,1106.0,142.0,7.0,1150.0,539.0,8.0,544.0,0.0,0.0,1151.0,2.0,4.0,3.0,0.0,0.0
10100010,0,8.0,0,1.0,30.0,1395.0,31.0,13.0,31.0,30.0,0.0,1.0,1.0,30.0,1.0,64.0,1409.0,181.0,0.0,2.0,1058.0,0.0,0.0,2.0,205.0,635.0,32.0,1.0,118.0,162.0,3.0,95.0,0.0,0.0,658.0,0.0,1.0,169.0,0.0,0.0
10100011,0,0.0,3,"",2.0,5372.0,48.0,140.0,8.0,132.0,0.0,14.0,3.0,2.0,0.0,169.0,17461.0,321.0,1.0,2.0,23.0,0.0,0.0,67.0,13.0,17832.0,16.0,2.0,2060.0,320.0,6.0,323.0,0.0,0.0,18416.0,0.0,0.0,331.0,0.0,0.0
10100012,0,"",7,98.0,3.0,"","","",3.0,"","","","",3.0,0.0,2.0,38.0,48.0,0.0,0.0,118.0,4.0,1.0,0.0,143.0,43.0,113.0,0.0,6.0,48.0,8.0,8.0,1.0,2.0,44.0,0.0,4.0,54.0,1.0,24.0
10100013,0,0.0,0,6.0,11.0,3924.0,44.0,5.0,25.0,161.0,0.0,2.0,"",11.0,0.0,51.0,36.0,44.0,0.0,0.0,22.0,3.0,0.0,96.0,8.0,41.0,6.0,2.0,248.0,45.0,0.0,53.0,105.0,2.0,42.0,0.0,3.0,0.0,3.0,1.0
10100014,0,"",0,49.0,8.0,35883.0,"",0.0,8.0,18.0,"",0.0,"",8.0,0.0,13.0,2508928.0,16973.0,0.0,0.0,2139.0,9.0,1.0,3089.0,701.0,2793307.0,680.0,5.0,186.0,5263378.0,0.0,9.0,1.0,3.0,6883220.0,1.0,0.0,4693.0,7.0,3613.0
10100015,0,0.0,1,3.0,11.0,4546.0,296.0,4.0,40.0,284.0,0.0,3.0,"",14.0,4.0,11.0,5.0,3.0,1.0,0.0,3190.0,2.0,0.0,5245.0,1566.0,6.0,1403.0,0.0,18.0,6.0,0.0,24.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0
10100016,0,"",0,3.0,2.0,257353.0,"",0.0,2.0,109.0,"",0.0,"",2.0,0.0,57.0,171.0,32.0,0.0,0.0,799.0,0.0,1.0,77.0,57.0,180.0,68.0,1.0,299.0,197.0,0.0,71.0,0.0,0.0,189.0,0.0,1.0,34.0,0.0,0.0
10100017,1,10.0,213,3.0,9.0,2.0,1.0,51.0,3.0,735.0,1.0,8.0,"",1.0,1.0,305.0,164.0,204.0,0.0,1.0,212.0,0.0,0.0,360.0,164.0,167.0,184.0,2.0,1294.0,189.0,0.0,629.0,1.0,2.0,181.0,0.0,7.0,94.0,2.0,636.0
10100018,0,"",0,1.0,2.0,2311.0,"",0.0,38.0,51.0,"",0.0,"",2.0,8.0,190.0,226802.0,150.0,4.0,1.0,342.0,0.0,0.0,0.0,105.0,225381.0,54.0,2.0,660.0,261.0,4.0,306.0,0.0,0.0,228456.0,5.0,4.0,138.0,0.0,0.0
10100019,0,0.0,-1,"","",2256.0,19.0,74.0,8.0,43.0,0.0,6.0,0.0,"",2.0,158.0,781.0,969.0,1.0,0.0,1579.0,1.0,0.0,794.0,262.0,811.0,265.0,0.0,644.0,913.0,0.0,248.0,394.0,1.0,834.0,0.0,3.0,949.0,4.0,699.0
10100020,0,1.0,-1,7.0,8.0,358.0,15.0,2.0,12.0,119.0,1.0,2.0,"",8.0,1.0,38.0,13.0,16.0,0.0,0.0,2260.0,0.0,0.0,11758.0,1116.0,14.0,1011.0,1.0,41.0,15.0,1.0,32.0,1.0,2.0,15.0,0.0,0.0,3.0,2.0,3.0
10100021,0,3.0,0,23.0,4.0,1.0,14.0,3.0,13.0,4.0,1.0,1.0,"",0.0,3.0,4.0,168.0,108.0,0.0,0.0,4642.0,1.0,0.0,8096.0,933.0,176.0,866.0,3.0,157.0,193.0,0.0,1.0,10.0,3.0,186.0,0.0,0.0,35.0,5.0,450.0
10100022,0,"",19,5.0,3.0,11479.0,"",0.0,3.0,39.0,"",0.0,"",3.0,0.0,17.0,848.0,1168.0,0.0,1.0,715.0,1.0,0.0,0.0,555.0,882.0,425.0,0.0,120.0,1003.0,4.0,75.0,1.0,2.0,910.0,0.0,4.0,455.0,2.0,61.0
10100023,0,0.0,235,5.0,2.0,5820.0,"",0.0,7.0,3.0,0.0,0.0,1.0,2.0,0.0,11.0,335.0,238.0,0.0,0.0,620.0,13.0,0.0,4263.0,235.0,350.0,241.0,0.0,18.0,271.0,3.0,24.0,0.0,0.0,255.0,1.0,0.0,222.0,0.0,0.0
10100024,0,2.0,2,3.0,"",411.0,0.0,36.0,0.0,61.0,2.0,8.0,"","",0.0,10.0,110.0,152.0,0.0,3.0,5.0,0.0,0.0,1081.0,0.0,114.0,0.0,0.0,22.0,133.0,3.0,6.0,1.0,1.0,130.0,0.0,0.0,141.0,8.0,50.0
10100025,0,1.0,270,6.0,8.0,358.0,15.0,2.0,12.0,119.0,1.0,2.0,"",8.0,0.0,38.0,13.0,16.0,0.0,0.0,2260.0,0.0,0.0,11758.0,1116.0,14.0,1011.0,0.0,107.0,15.0,1.0,32.0,1.0,3.0,15.0,0.0,0.0,3.0,2.0,3.0
10100026,0,0.0,9,4.0,4.0,8988.0,72.0,1.0,4.0,45.0,0.0,1.0,"",4.0,0.0,27.0,34632.0,35741.0,0.0,0.0,1965.0,0.0,0.0,134.0,709.0,34999.0,685.0,1.0,48.0,36275.0,2.0,22.0,1.0,1.0,35323.0,2.0,0.0,0.0,23.0,1.0
10100027,0,"",1,"","",40546.0,115.0,0.0,2.0,72.0,"",0.0,"","",0.0,11.0,5.0,3.0,1.0,0.0,28.0,0.0,0.0,108.0,7.0,6.0,9.0,0.0,18.0,6.0,0.0,24.0,0.0,0.0,6.0,1.0,1.0,6.0,0.0,0.0
10100028,0,19.0,0,11.0,7.0,597.0,7.0,19.0,31.0,30.0,1.0,1.0,"",7.0,1.0,46.0,5466863.0,746.0,9.0,0.0,296.0,0.0,0.0,298.0,163.0,8138182.0,181.0,1.0,1195.0,4085388.0,0.0,467.0,1.0,2.0,5763737.0,0.0,0.0,67.0,7.0,195.0
10100029,0,0.0,0,1.0,1.0,2967.0,212.0,6.0,14.0,18.0,0.0,2.0,"",1.0,0.0,0.0,61.0,56.0,0.0,2.0,79.0,0.0,0.0,897.0,40.0,47.0,47.0,0.0,1122.0,54.0,0.0,170.0,0.0,0.0,48.0,0.0,0.0,58.0,0.0,0.0
10100030,1,"",2,"","",29195.0,262.0,2.0,1.0,65.0,"",1.0,"","",1.0,428.0,1270.0,1717.0,0.0,0.0,2853.0,0.0,0.0,0.0,1183.0,1303.0,1069.0,3.0,1983.0,1489.0,4.0,1197.0,0.0,0.0,1357.0,0.0,0.0,1594.0,0.0,0.0
10100031,0,"",-1,4.0,1.0,54411.0,"",0.0,1.0,1.0,"",0.0,"",1.0,2.0,0.0,2221237.0,2722.0,2.0,0.0,72.0,6.0,1.0,477.0,50.0,7937207.0,44.0,1.0,447.0,1603247.0,2.0,270.0,0.0,0.0,2514288.0,0.0,0.0,103.0,0.0,0.0
10100032,0,0.0,2,1.0,0.0,11908.0,862.0,1.0,2.0,121.0,0.0,1.0,"",2.0,102.0,0.0,39.0,51.0,0.0,0.0,4739.0,0.0,0.0,0.0,926.0,44.0,844.0,0.0,1355.0,51.0,1.0,121.0,0.0,0.0,45.0,0.0,0.0,55.0,0.0,0.0
10100033,0,"",0,7.0,6.0,19395.0,33.0,1.0,7.0,33.0,"",1.0,"",6.0,1.0,20.0,3837267.0,1315702.0,0.0,1.0,3656.0,0.0,0.0,32907.0,1950.0,5465450.0,1703.0,2.0,185.0,5026674.0,1.0,11.0,347.0,1.0,4053882.0,1.0,3.0,1762.0,23.0,1312.0
10100034,0,"",0,7.0,29.0,2079.0,70.0,5.0,31.0,79.0,"",3.0,"",39.0,0.0,112.0,1025.0,120.0,0.0,2.0,10401.0,15.0,0.0,4776.0,190.0,333.0,202.0,10.0,1091.0,107.0,0.0,750.0,0.0,0.0,101.0,0.0,9.0,1.0,0.0,0.0
10100035,1,0.0,0,"","",5294.0,374.0,8.0,7.0,284.0,0.0,3.0,"","",0.0,91.0,712.0,968.0,0.0,1.0,14.0,3.0,0.0,410.0,27.0,742.0,26.0,1.0,1075.0,831.0,0.0,115.0,0.0,0.0,766.0,0.0,0.0,88.0,0.0,0.0
10100036,1,"",2383,3.0,0.0,16305.0,"",0.0,5.0,51.0,"",0.0,0.0,3.0,18.0,0.0,419.0,545.0,0.0,1.0,579.0,0.0,0.0,0.0,516.0,432.0,514.0,1.0,592.0,471.0,4.0,420.0,0.0,0.0,448.0,0.0,4.0,479.0,0.0,0.0
10100037,0,"",295,"",2.0,"","",0.0,1.0,2.0,"",0.0,"",2.0,0.0,0.0,9860.0,12244.0,2.0,3.0,10.0,8.0,1.0,0.0,17.0,10094.0,7.0,7.0,3779.0,10921.0,8.0,1601.0,0.0,0.0,10501.0,0.0,6.0,2749.0,0.0,0.0
10100038,0,"",3,83.0,15.0,1635.0,100.0,1.0,15.0,17.0,"",1.0,"",15.0,0.0,0.0,4013.0,5412.0,0.0,2.0,285.0,0.0,0.0,1.0,134.0,4138.0,120.0,0.0,3666.0,4618.0,2.0,1984.0,0.0,0.0,4288.0,0.0,0.0,2683.0,0.0,0.0
10100039,0,"",7,4.0,4.0,4249.0,"",0.0,5.0,132.0,"",0.0,"",4.0,5.0,34.0,1516134.0,591915.0,0.0,3.0,1461.0,0.0,0.0,541.0,656.0,1367505.0,638.0,1.0,110.0,724303.0,7.0,116.0,0.0,0.0,1029646.0,0.0,0.0,1151.0,0.0,0.0
10100040,0,"",1,"","",8627.0,48.0,17.0,1.0,161.0,"",4.0,0.0,"",1.0,109.0,0.0,1.0,0.0,1.0,390.0,8.0,0.0,188.0,20.0,0.0,21.0,1.0,670.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
10100041,1,"",-1,"","",34786.0,866.0,0.0,2.0,70.0,"",0.0,"","",0.0,0.0,0.0,1.0,0.0,0.0,352.0,0.0,0.0,174.0,1586.0,0.0,80.0,1.0,2442.0,0.0,2.0,102.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
10100042,0,"",3353,"","",15197.0,249.0,7.0,0.0,80.0,"",2.0,0.0,"",4.0,6.0,39376.0,39689.0,0.0,0.0,485.0,0.0,0.0,364.0,18.0,39477.0,23.0,3.0,210.0,40655.0,0.0,4.0,7.0,3.0,39709.0,0.0,0.0,0.0,28.0,1.0
10100043,0,0.0,0,1.0,1.0,2178.0,161.0,3.0,17.0,35.0,0.0,1.0,1.0,1.0,0.0,11.0,5.0,3.0,11.0,0.0,4230.0,1.0,0.0,0.0,3641.0,6.0,304.0,0.0,18.0,6.0,3.0,24.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,0.0
10100044,0,4.0,0,1.0,7.0,1.0,6.0,21.0,10.0,44.0,1.0,3.0,0.0,5.0,0.0,192.0,3159745.0,33499.0,0.0,5.0,4055.0,0.0,0.0,6541.0,1208.0,4773876.0,1090.0,1.0,888.0,32921.0,3.0,309.0,1.0,2.0,88241.0,0.0,0.0,15492.0,2.0,32749.0
10100045,1,7.0,-1,"","",738.0,1.0,20.0,6.0,63.0,2.0,8.0,"","",0.0,3.0,7590449.0,5.0,7.0,0.0,2.0,0.0,0.0,76.0,3.0,6988168.0,5.0,1.0,67.0,1527371.0,0.0,78.0,2.0,1.0,4173773.0,0.0,5.0,5.0,4.0,2.0
10100046,1,18.0,2,10.0,8.0,1.0,1.0,223.0,43.0,350.0,1.0,21.0,"",1.0,40.0,46.0,4616783.0,4878.0,0.0,2.0,111.0,0.0,0.0,0.0,67.0,8259179.0,75.0,1.0,89.0,963471.0,0.0,50.0,1.0,1.0,842176.0,2.0,2.0,2465.0,7.0,2408.0
10100047,0,85.0,1,4.0,6.0,1.0,3.0,126.0,45.0,410.0,2.0,7.0,"",3.0,4.0,9.0,7511205.0,21313.0,0.0,1.0,79.0,0.0,0.0,326.0,40.0,4408193.0,47.0,0.0,56.0,2470350.0,0.0,20.0,1.0,1.0,6880180.0,0.0,3.0,3814.0,2.0,2953.0
10100048,0,"",1,3.0,3.0,22564.0,85.0,1.0,3.0,66.0,"",1.0,"",3.0,1.0,0.0,1324.0,1783.0,0.0,1.0,1897.0,2.0,0.0,2235.0,1545.0,1362.0,1384.0,1.0,1315.0,1547.0,0.0,200.0,0.0,0.0,1414.0,1.0,1.0,125.0,0.0,0.0
10100049,0,"",2271,5.0,5.0,14404.0,57.0,70.0,5.0,141.0,"",13.0,"",5.0,3.0,3.0,3197.0,4374.0,1.0,0.0,52.0,0.0,0.0,1591.0,9.0,3281.0,12.0,9.0,63.0,3697.0,0.0,0.0,1.0,3.0,3392.0,1.0,2.0,0.0,4.0,41.0
10100050,0,0.0,11,4.0,26.0,1592.0,103.0,3.0,26.0,29.0,0.0,1.0,"",26.0,1.0,13.0,9105461.0,6002.0,0.0,1.0,1584.0,0.0,0.0,0.0,998.0,7817627.0,924.0,1.0,43.0,4099883.0,1.0,9.0,1.0,3.0,2435134.0,0.0,5.0,3334.0,7.0,202.0
10100051,0,7.0,33,10.0,10.0,61.0,10.0,7.0,9.0,11.0,1.0,1.0,0.0,10.0,3.0,70.0,53.0,24.0,0.0,2.0,2078.0,0.0,0.0,3276.0,346.0,59.0,346.0,1.0,178.0,28.0,0.0,72.0,0.0,0.0,23.0,0.0,0.0,28.0,0.0,0.0
